Question;Option A;Option B;Option C;Option D;Answer;Annex
OPR-013 - What should be the first action in case of a cable fire during a flight?;Close the fuel valve;Open the windows;Turn off the master switch;Open cabin ventilation;Turn off the master switch;
OPR-014 - What extinguishing agent is the least suitable for an aircraft fire?;Powder;Halon;Water;Foam;Water;
OPR-015 - In flight, a little smoke emerges from behind the instrument panel. An electrical fire is suspected. Which action, with respect to the pilot's operating manual, should be taken?;Turn off the heat;Shut down the engine;Turn off the master switch;Use the fire extinguisher;Turn off the master switch;
OPR-016 - In flight, a little smoke emerges from behind the instrument panel. An engine fire is suspected. Which action, with respect to the pilot's operating manual, should be taken?;Turn off the heat;Shut down the engine;Use the fire extinguisher;Turn off the master switch;Turn off the heat;
OPR-017 - A wind shear is...;a slow increase of the wind speed in altitudes above 13000 ft.;a wind speed change of more than 15 kt.;a vertical or horizontal change of wind speed and wind direction.;a meteorological downslope wind phenomenon in the alps.;a vertical or horizontal change of wind speed and wind direction.;
OPR-018 - Which weather phenomenon is typically associated with wind shear?;Fog.;Invernal warm front.;Thunderstorms.;Stable high pressure areas.;Thunderstorms.;
OPR-019 - When do you expect wind shear?;During an inversion;In calm wind in cold weather;During a summer day with calm winds;When passing a warm front;During an inversion;
OPR-020 - During an approach the aeroplane experiences a windshear with a decreasing headwind. If the pilot does not make any corrections, how do the approach path and the indicated airspeed (IAS) change?;Path is higher, IAS decreases;Path is lower, IAS increases;Path is higher, IAS increases;Path is lower, IAS decreases;Path is lower, IAS decreases;
OPR-021 - During an approach the aeroplane experiences a windshear with an increasing headwind. If the pilot does not make any corrections, how do the approach path and the indicated airspeed (IAS) change?;Path is higher, IAS decreases;Path is lower, IAS increases;Path is higher, IAS increases;Path is lower, IAS decreases;Path is higher, IAS increases;
OPR-022 - During an approach the aeroplane experiences a windshear with a decreasing tailwind. If the pilot does not make any corrections, how do the approach path and the indicated airspeed (IAS) change?;Path is higher, IAS decreases;Path is higher, IAS increases;Path is lower, IAS decreases;Path is lower, IAS increases;Path is higher, IAS increases;
OPR-023 - After take-off an aeroplane gets into a wind shear with decreasing headwind. As a result...;the aeroplane flies above the estimated climb path.;the true airspeed (TAS) will increase.;the ground speed (GS) will decrease.;the aeroplane flies below the estimated climb path.;the aeroplane flies below the estimated climb path.;
OPR-024 - How may windshear be recognised in flight?;Sudden and apparently baseless change in altitude, airspeed, rate of climb or descent.;Sudden and apparently baseless change in heading, turning rate, engine speed or oil temperature.;Sudden and apparently baseless change of oilpressure, oil temperature, engine speed and altitude.;Rather unexpected onset of drizzle associated with high stratus clouds following previously clear skies and calm conditions.;Sudden and apparently baseless change in altitude, airspeed, rate of climb or descent.;
OPR-025 - Which phenomenon may be expected at point 2 of the microburst?;Constant rate of descent;Decrease of descent rate;Increase of airspeed;Decrease of climb rate;Decrease of climb rate;static/images/opr/opr-001.png
OPR-026 - Which phenomenon may be expected at point 3 of the microburst?;Decrease in airspeed;Constant rate of descent;Increase in airspeed;Decrease in climb rate;Decrease in airspeed;static/images/opr/opr-001.png
OPR-027 - How can a wind shear encounter in flight be avoided?;Avoid take-off and landing during the passage of heavy showers or thunderstorms;Avoid areas of precipitation, particularly during winter, and choose low flight altitudes;Avoid take-offs and landings in mountainous terrain and stay in flat country whenever possible;Avoid thermally active areas, particularly during summer, or stay below these areas;Avoid take-off and landing during the passage of heavy showers or thunderstorms;
OPR-028 - What action should be taken when entering a windshear? 1. Reduce speed 2. Retract gear and flaps 3. Maintain current configuration 4. Adjust thrust;2 and 4;1 and 2;1 and 3;3 and 4;3 and 4;
OPR-029 - After lift-off, a much stronger than expected airspeed rise is experienced during the initial climb phase. What may be expected if the aeroplane entered a microburst?;An increased climb rate and decreased airspeed;An increased climb rate and airspeed;A decreased climb rate and airspeed;A decreased climb rate and increased airspeed;A decreased climb rate and airspeed;
OPR-030 - Immediately after lift-off, a microburst is entered inadvertently. Which action might avoid an unintentional descent?;Set maximum power, maintain present aircraft configuration, climb at the best rate of climb speed;Set maximum power, retract landing gear and flaps, pick up speed and perform a left or a right turn in an attempt to leave the area of the microburst on the shortest way;Set maximum power, retract landing gear and flaps, increase pitch until attaining optimum climb speed;Set maximum power, maintain present aircraft configuration, pick up speed in an attempt to leave the area of the microburst as fast as possible;Set maximum power, maintain present aircraft configuration, climb at the best rate of climb speed;
OPR-031 - Wake turbulences develop during take-off just as the aeroplane...;reaches an altitude of 15 ft.;lifts off with the main gear.;lifts off with the front gear.;accelerates.;lifts off with the front gear.;
OPR-032 - Wake turbulence is caused by...;wind shear at the wingtip of an aerofoil.;jet blast behind a turbine engine.;turbulence at the downwind side of a mountain range.;pressure compensation at the wingtip of an aerofoil.;pressure compensation at the wingtip of an aerofoil.;
OPR-033 - Wake turbulence is particularly strong...;when flying at high speeds.;when flying at high altitudes.;when flying at low speeds.;when flying at low altitudes.;when flying at low speeds.;
OPR-034 - Wake turbulence is particularly strong...;at a high aeroplane weight.;when flying with high thrust.;when flying with low thrust.;at a low aeroplane weight.;at a high aeroplane weight.;
OPR-035 - The intensity of wake turbulence depends on...;the propeller pitch.;the temperature.;the weight of the aeroplane.;the altitude of the aeroplane.;the weight of the aeroplane.;
OPR-036 - Two aircraft of the same type, same grossweight and same configuration fly at different airspeeds. Which aircraft will cause more severe wake turbulence?;The aircraft flying at lower altitude.;The aircraft flying at slower speed.;The aircraft flying at higher speed.;The aircraft flying at higher altitude.;The aircraft flying at slower speed.;
OPR-037 - Two aircraft of the same type, same gross weight and same flap configuration fly with different speeds and altitude. Which aircraft will cause more wake turbulence?;The aircraft flying at a higher altitude;The aircraft flying at a lower altitude;The aircraft flying at higher speed.;The aircraft flying at lower speed.;The aircraft flying at lower speed.;
OPR-038 - With only a slight crosswind, what is the danger at take-off after the departure of a heavy aeroplane?;Wake turbulence on or near the runway.;Wake turbulence is amplified and distorted.;Wake turbulence rotate faster and higher.;Wake turbulence twisting transverse to the runway.;Wake turbulence on or near the runway.;
"OPR-039 - A light aircraft intends to land behind a commercial airliner belonging to wake turbulence category ""medium"" or ""heavy"" on a long runway. How can the wake turbulence of the commercial aircraft be avoided?";By making a steep approach and a long landing, touching down behind the touchdown point of the airliner's nose gear;By making a steep approach and a very short landing. The light aircraft should be able to stop before reaching the airliner's touchdown point;By making a shallow approach and a long landing, touching down behind the touchdown point of the airliner's nose gear;By making a shallow approach and a very short landing. The light aircraft should be able to stop before reaching the airliner's touchdown point;By making a steep approach and a long landing, touching down behind the touchdown point of the airliner's nose gear;
OPR-040 - What should be observed when taxiing behind a commercial airliner?;To avoid wake turbulence, a minimum distance of 700 m should be maintained;To avoid the jet blast, a minimum distance of 600 m should be maintained;To avoid wake turbulence, a minimum distance of 300 m should be maintained;To avoid the jet blast, a minimum distance of 200 m should be maintained;To avoid the jet blast, a minimum distance of 200 m should be maintained;
OPR-041 - A technical fault requires an emergency off-field landing. Which steps, with respect to the pilot's operating handbook, are necessary?;Inform air traffic control and request technical support, check the pilot's operating handbook for a reference on the matter and execute an emergency landing.;Reduce speed and configure the aircraft for landing in an attempt to gain time, declare an emergency, complete the applicable emergency procedure and execute an emergency landing.;Locate a suitable landing area, plan the approach, complete the applicable emergency procedure, declare an emergency, start and concentrate on the approach in due time.;Declare an emergency, complete the applicable emergency procedure, cover as much distance towards the airport as possible to be closer to the rescue forces.;Locate a suitable landing area, plan the approach, complete the applicable emergency procedure, declare an emergency, start and concentrate on the approach in due time.;
OPR-042 - Which method is appropriate to approach an unprepared landing field?;Flat direct approach to ensure visual ground contact;Steep approach to keep the noise level low;Fast approach, performance check, and landing within a quick stop;Terrain investigation to determine approach points and landing;Terrain investigation to determine approach points and landing;
OPR-043 - Which area is suitable for an off-field landing?;Harvested cornfield;Glade with long dry grass;Plowed field;Sports area in a village;Harvested cornfield;
OPR-044 - An emergency landing is a landing...;conducted without power from the engine.;conducted in an attempt to keep up safety regarding an aircraft and its occupants.;conducted with the flaps retracted.;conducted in response to circumstances forcing the aircraft to land.;conducted in response to circumstances forcing the aircraft to land.;
OPR-045 - A landing conducted in response to circumstances forcing the aircraft to land is a / an...;precautionary landing.;urgent landing.;emergency landing.;field or out landing.;emergency landing.;
OPR-046 - A precautionary landing is a landing...;conducted without power from the engine.;conducted in response to circumstances forcing the aircraft to land.;conducted in an attempt to sustain flight safety.;conducted with the flaps retracted.;conducted in an attempt to sustain flight safety.;
OPR-047 - Which of the following landing areas is most suitable for an off-field landing?;A lake with an undisturbed surface;A light brown field with short crops;A meadow without livestock;A field with ripe waving crops;A light brown field with short crops;
OPR-048 - How does the pilot prepare for a VFR flight over a large distance of water, when it is unlikely that land can be reached in case of an engine failure?;File a flight plan including the exact way-points.;Be prepared to fly with transponder only.;Carry life vests or a life raft for all occupants.;Maintain continuous radio contact with ATC.;Carry life vests or a life raft for all occupants.;
OPR-049 - Which items should a passenger briefing in case of an imminent emergency landing include?;How to work the aircraft radio, emergency transponder squawk, telephone number of the competent search and rescue (SAR) center;Blood type of the other aircraft occupants, location of the first-aid kit;Nature of the emergency, intentions, safety position, evacuation routes, actions after landing;How to read an emergency checklist, how to cut the engine, telephone number of the home airport;Nature of the emergency, intentions, safety position, evacuation routes, actions after landing;
OPR-050 - After a precautionary landing the brakes and wheels are very hot. In which way should the pilot approach them?;From the right or left side;At an angle of 45°;From the front or back side;From the front, right or left side;From the front or back side;
OPR-051 - What needs to be observed in conjunction with overheated brakes?;The affected brakes need to be cooled down with halon;The affected tyres may burst in axial direction;The affected tyres may burst in radial direction or direction of rotation;The wheel fairing shall be taken off to increase the cooldown;The affected tyres may burst in axial direction;
OPR-052 - In case of an emergency ditching, the life vests have to be inflated...;before disembarking the aircraft.;during disembarking the aircraft.;after disembarking the aircraft at a safe distance of about 10 m.;after disembarking the aircraft.;after disembarking the aircraft.;
OPR-053 - What are the effects of wet grass on the take-off and landing distance?;Decrease of the take-off distance and increase of the landing distance;Increase of the take-off distance and increase of the landing distance;Decrease of the take-off distance and decrease of the landing distance;Increase of the take-off distance and decrease of the landing distance;Increase of the take-off distance and increase of the landing distance;
OPR-054 - Under which circumstances may a runway be considered to be contaminated?;When more than 25 % of the runway surface area within the required length and width being used is covered by water, slush, snow or ice more than 3 mm deep;When 75 % of the required runway length and width are covered by contaminants such as snow, frost, ice or sand;When more than 50 % of the runway surface area within the required length and width being used is covered by water, slush, snow or ice more than 3 mm deep;When more than 50 % of the required runway length and width are covered by contaminants such as snow, frost, ice or sand;When more than 25 % of the runway surface area within the required length and width being used is covered by water, slush, snow or ice more than 3 mm deep;
"OPR-055 - What minimum coverage with ice or snow must be given to call a runway ""contaminated""?";50 %;25 %;10 %;75 %;25 %;
OPR-056 - Wet snow on a runway can lead to...;an increase in lift.;a decrease in lift.;reduced rolling resistance during take-off.;increased rolling resistance during take-off.;increased rolling resistance during take-off.;
OPR-057 - What danger does standing water on the runway pose to aircraft?;Decreased rolling resistance during take-off;An increase in lift;Increased rolling resistance during take-off;A decrease in lift;Increased rolling resistance during take-off;
OPR-058 - Which danger exists after a heavy rain shower for a landing aircraft?;Displacement of the tire slip marking;Difficult flare due to glare;Longer braking distance due to aquaplaning;Decreased braking distance due to aquaplaning;Longer braking distance due to aquaplaning;
OPR-059 - Which would be the correct reaction when hydroplaning is suspected upon landing?;Add power and use flaps and spoilers to brake aerodynamically;Apply maximum braking to reduce aircraft speed to less than hydroplaning speed, then continue normal ground roll;Cross rudder and aileron controls in order to use the aircraft fuselage to brake aerodynamically;If all wheels are in motion, brake moderately. Maintain directional control by aerodynamic means;If all wheels are in motion, brake moderately. Maintain directional control by aerodynamic means;
OPR-060 - How should a landing on a contaminated runway be conducted if it proves to be inevitable?;Approach with the minimum crosswind component possible, use minimum flaps, touch down softly with positive pitch and minimum speed, do not apply brakes;Approach with the minimum crosswind component possible, use maximum flaps, touch down with negative pitch and minimum speed, brake carefully;Approach with the minimum crosswind component possible, use maximum flaps, touch down firmly with minimum speed, brake carefully;Approach with the minimum crosswind component possible, use minimum flaps, touch down softly with minimum speed, do not apply brakes;Approach with the minimum crosswind component possible, use maximum flaps, touch down firmly with minimum speed, brake carefully;
OPR-061 - During final approach, the glider pilot realizes a very bumpy surface on a selected off-field landing site. What technique may be recommended for landing?;Touch down with minimum speed, compensate different ground levels with power lever;Approach with increased speed, push elevator upon first ground contact;Touch down with minimum speed, keep elevator pulled until full stop;Approach with increased speed, avoid using wheel brakes;Touch down with minimum speed, keep elevator pulled until full stop;
