Question;Option A;Option B;Option C;Option D;Answer;Annex
COM-071 - On what frequency shall a blind transmission be made?;On the appropriate FIS frequency;On a radar frequency of the lower airspace;On the current frequency;On a tower frequency;On the current frequency;
COM-072 - How often shall a blind transmission be made?;Two times;Three times;Four times;One time;One time;
COM-073 - In what situation is it appropriate to set the transponder code 7600?;Hijacking;Emergency;Flight into clouds;Loss of radio;Loss of radio;
COM-074 - What is the correct course of action when experiencing a radio failure in class D airspace?;The flight has to be continued above 5000 feet complying with VFR flight rules or the airspace has to be left by the shortest route;The flight has to be continued according to the last clearance complying with VFR rules or the airspace has to be left by the shortest route;The flight has to be continued above 5000 feet complying with VFR flight rules or the airspace has to be left using a standard routing;The flight has to be continued according to the last clearance complying with VFR flight rules or the airspace has to be left using a standard routing;The flight has to be continued according to the last clearance complying with VFR rules or the airspace has to be left by the shortest route;
COM-075 - Under what conditions may class D airspace be entered with a radio failure?;Approval has been granted before;There are other aircraft in the aerodrome circuit;It ist the aerodrome of departure;It is the destination aerodrome;Approval has been granted before;
COM-076 - Which phrase is to be repeated three times before transmitting an urgency message?;Help;Urgent;Pan Pan;Mayday;Pan Pan;
COM-077 - Urgency messages are defined as...;messages concerning urgent spare parts which are needed for a continuation of flight and which need to be ordered in advance.;messages concerning the safety of an aircraft, a watercraft or some other vehicle or person in sight.;information concerning the apron personell and which imply an imminent danger to landing aircraft.;messages concerning aircraft and their passengers which face a grave and imminent threat and require immediate assistance.;messages concerning the safety of an aircraft, a watercraft or some other vehicle or person in sight.;
COM-078 - Distress messages contain...;information concerning urgent spare parts which are required for a continuation of flight and which have to be ordered in advance.;information concerning the apron personell and which imply an imminent danger to landing aircraft.;information concerning the safety of an aircraft, a watercraft or some other vehicle or person in sight.;information concerning aircraft and their passengers which face a grave and imminent threat and require immediate assistance.;information concerning aircraft and their passengers which face a grave and imminent threat and require immediate assistance.;
COM-079 - What is the correct frequency for an initial distress message?;Emergency frequency;Current frequency;FIS frequency;Radar frequency;Current frequency;
COM-080 - What kind of information should be included in an urgency message?;Nature of problem or observation, important information for support, departure aerodrome, information about position, heading and altitude;Intended routing, important information for support, intentions of the pilot, information about position, departure aerodrome, heading and altitude;Nature of problem or observation, important information for support, intentions of the pilot, information about position, heading and altitude;Intended routing, important information for support, intentions of the pilot, departure aerodrome, destination aerodrome, heading and altitude;Nature of problem or observation, important information for support, intentions of the pilot, information about position, heading and altitude;
COM-081 - The correct transponder code for emergencies is...;7700.;7000.;7600.;7500.;7700.;
COM-082 - Which of the following frequencies is designated for VHF voice communication?;118.75 kHz;327.25 MHz;327.25 kHz;118.75 MHz;118.75 MHz;
COM-083 - Which of the following frequencies is designated for VHF voice communication?;120.50 MHz;115.15 MHz;108.80 MHz;117.30 kHz;120.50 MHz;
COM-084 - What is the correct designation of the frequency band from 118.000 to 136.975 MHz used for voice communication?;LF;VHF;MF;HF;VHF;
COM-085 - Which of the following factors affects the reception of VHF transmissions?;Altitude;Shoreline effect;Twilight error;Height of ionosphere;Altitude;
COM-086 - What is the approximate speed of electromagnetic wave propagation?;123000 m/s;300000 km/s;123000 km/s;300000 m/s;300000 km/s;
COM-087 - An ATIS is valid for...;10 minutes.;45 minutes.;60 minutes.;30 minutes.;30 minutes.;
