Question;Option A;Option B;Option C;Option D;Answer;Annex
PFA-040 - Which of the listed wing shapes has the lowest induced drag?;Elliptical shape;Double trapezoidal shape;Rectangular shape;Trapezoidal shape;Elliptical shape;
PFA-041 - Which effect does a decreasing airspeed have on the induced drag during a horizontal and stable cruise flight?;The induced drag will increase;The induced drag will collapse;The induced drag will remain constant;The induced drag will slightly decrease;The induced drag will increase;
PFA-042 - Which statement about induced drag during the horizontal cruise flight is correct?;Induced drag has a minimum at a certain speed and increases at higher as well as lower speeds;Induced drag has a maximum at a certain speed and decreases at higher as well as lower speeds;Induced drag increases with increasing airspeed;Induced drag decreases with increasing airspeed;Induced drag decreases with increasing airspeed;
PFA-043 - In which mentioned situation is the total drag at its minimum?;Induced drag is twice as much as parasite drag;Parasite drag is twice as much as induced drag;Parasite drag is equal to induced drag;Induced drag is smaller than parasite drag;Parasite drag is equal to induced drag;
PFA-044 - Which kinds of drag contribute to total drag?;Form drag, skin-friction drag, interference drag;Interference drag and parasite drag;Induced drag, form drag, skin-friction drag;Induced drag and parasite drag;Induced drag and parasite drag;
PFA-045 - How do lift and drag change when approaching a stall condition?;Lift and drag decrease;Lift and drag increase;Lift decreases and drag increases;Lift increases and drag decreases;Lift decreases and drag increases;
PFA-046 - In case of a stall it is important to...;increase the bank angle and reduce the speed.;increase the angle of attack and increase the speed.;decrease the angle of attack and increase the speed.;increase the angle of attack and reduce the speed.;decrease the angle of attack and increase the speed.;
PFA-047 - During a stall, the lift...;decreases and drag increases.;increases and drag decreases.;increases and drag increases.;decreases and drag decreases.;decreases and drag increases.;
PFA-048 - The critical angle of attack...;changes with increasing weight.;decreases with forward center of gravity position.;is independent of the weight.;increases with backward center of gravity position.;is independent of the weight.;
PFA-049 - What leads to a decreased stall speed Vs (IAS)?;Lower altitude;Lower density;Higher load factor;Decreasing weight;Decreasing weight;
PFA-050 - The stall warning will be activated just before reaching which speed?;VNE;VS;VX;VR;VS;
PFA-051 - In motorplanes the stall warning is usually activated by a change of...;the center of gravity.;the transition point.;the center of pressure.;the stagnation point.;the stagnation point.;
PFA-052 - How should the pilot react to an engaged stall warning?;Pull the elevator, increase power;Pull the elevator, decrease power;Push the elevator, increase power;Raise the nose to decrease airspeed;Push the elevator, increase power;
PFA-053 - Which statement regarding a spin is correct?;During recovery the ailerons should be kept neutral;Only very old aeroplanes have a risk of spinning;During recovery the ailerons should be crossed;During the spin the speed constantly increases;During recovery the ailerons should be kept neutral;
PFA-054 - When extending the flaps for landing at constant angle of attack, in which way does the lift coefficient change far before reaching the maximum lift coefficient?;It decreases;It is not possible to define;It increases;It remains constant;It increases;
PFA-055 - With regard to flaps, which of the following options provides a lift-increasing effect?;Decreasing the angle of attack;Increasing the aerofoil camber;Decreasing the form drag;Lowering the induced drag;Increasing the aerofoil camber;
PFA-056 - Which factor can be changed by deploying flaps for landing?;The position of the center of gravity;The effectiveness of the ailerons;The twist effect of the engine;The trim condition;The trim condition;
PFA-057 - What is the principle of a Fowler flap?;A profile-like flap is extended from the trailing edge of the wing;A flap from the rear bottom side of the wing is folded down;At high angles of attack a part of the leading edge lifts;The rear part of the wing is folded down;A profile-like flap is extended from the trailing edge of the wing;
PFA-058 - A take-off with flaps in take-off position causes...;an increased rate of climb.;an increased acceleration.;a shortening of the take-off run.;a decrease in drag.;a shortening of the take-off run.;
PFA-059 - Provided that no other procedure is described in the Aircraft Operating Handbook, after increasing the engine power in a go-around, the flaps may...;not be operated up to the minimum safe altitude.;be retracted to a middle position.;be fully retracted without any delay.;remain fully extended until reaching the traffic pattern.;be retracted to a middle position.;
PFA-060 - How do lift and drag change when setting flaps to a lower position?;Lift increases, drag decreases;Lift increases, drag increases;Lift decreases, drag decreases;Lift decreases, drag increases;Lift increases, drag increases;
PFA-061 - The laminar boundary layer on the aerofoil is located between...;the transition point and the separation point.;the stagnation point and the transition point.;the transition point and the center of pressure.;the stagnation point and the center of pressure.;the stagnation point and the transition point.;
PFA-062 - What types of boundary layers can be found on an aerofoil?;Laminar layer at the leading wing areas, turbulent boundary layer at the trailing areas;Turbulent boundary layer along the complete upper surface with separated airflow;Turbulent layer at the leading wing areas, laminar boundary layer at the trailing areas;Laminar boundary layer along the complete upper surface with non-separated airflow;Laminar layer at the leading wing areas, turbulent boundary layer at the trailing areas;
PFA-063 - How does a laminar boundary layer differ from a turbulent boundary layer?;The laminar boundary layer produces lift, the turbulent boundary layer produces drag;The turbulent boundary layer is thicker and provides less skin-friction drag;The laminar boundary layer is thinner and provides more skin-friction drag;The turbulent boundary layer can follow the airfoil camber at higher angles of attack;The turbulent boundary layer can follow the airfoil camber at higher angles of attack;
PFA-064 - What structural item provides lateral stability to an airplane?;Differential aileron deflection;Wing dihedral;Vertical tail;Elevator;Wing dihedral;
PFA-065 - Which statement describes a situation of static stability?;An aircraft distorted by external impact will tend to an even more deflected position;An aircraft distorted by external impact will return to the original position;An aircraft distorted by external impact can return to its original position by rudder input;An aircraft distorted by external impact will maintain the deflected position;An aircraft distorted by external impact will return to the original position;
PFA-066 - Which constructive feature is shown in the figure?;Longitudinal stability by wing dihedral;Lateral stability by wing dihedral;Differential aileron deflection;Directional stability by lift generation;Lateral stability by wing dihedral;static/images/pof/pfa-006.png
PFA-067 - Longitudinal stability is referred to as stability around which axis?;Propeller axis;Vertical axis;Longitudinal axis;Lateral axis;Lateral axis;
PFA-068 - Stability around which axis is mainly influenced by the center of gravity's longitudinal position?;Vertical axis;Longitudinal axis;Gravity axis;Lateral axis;Lateral axis;
PFA-069 - What structural item provides directional stability to an airplane?;Differential aileron deflection;Large vertical tail;Wing dihedral;Large elevator;Large vertical tail;
PFA-070 - Rotation around the vertical axis is called...;rolling.;pitching.;yawing.;slipping.;yawing.;
PFA-071 - Rotation around the lateral axis is called...;rolling.;stalling.;yawing.;pitching.;pitching.;
PFA-072 - The critical angle of attack...;increases with a front centre of gravity.;decreases with a rear centre of gravity.;is changed by different aircraft weights.;is not changed by different aircraft weights.;is not changed by different aircraft weights.;
PFA-073 - In straight and level flight with constant performance of the engine, the angle of attack at the wing is...;greater than in a climb.;greater than at take-off.;smaller than in a descent.;smaller than in a climb.;smaller than in a climb.;
PFA-074 - What is the function of the horizontal tail (among other things)?;To stabilise the aeroplane around the lateral axis;To initiate a curve around the vertical axis;To stabilise the aeroplane around the longitudinal axis;To stabilise the aeroplane around the vertical axis;To stabilise the aeroplane around the lateral axis;
PFA-075 - The elevator deflection during take-off rotation...;is increased for a front centre of gravity.;is increased for a rear centre of gravity.;is increased at high speeds.;is independent of the speed.;is increased for a front centre of gravity.;
PFA-076 - The elevator moves an aeroplane around the...;lateral axis.;elevator axis.;longitudinal axis.;vertical axis.;lateral axis.;
PFA-077 - What has to be considered with regard to the center of gravity position?;The center of gravity's position can only be determined during flight.;Only correct loading can assure a correct and safe center of gravity position.;By moving the elevator trim tab, the center of gravity can be shifted into a correct position.;By moving the aileron trim tab, the center of gravity can be shifted into a correct position.;Only correct loading can assure a correct and safe center of gravity position.;
PFA-078 - Rudder deflections result in a turn of the aeroplane around the...;rudder axis.;lateral axis.;vertical axis.;longitudinal axis.;vertical axis.;
PFA-079 - Deflecting the rudder to the left causes...;pitching of the aircraft to the right.;yawing of the aircraft to the right.;yawing of the aircraft to the left.;pitching of the aircraft to the left.;yawing of the aircraft to the left.;
PFA-080 - What is the advantage of differential aileron movement?;The ratio of the drag coefficient to lift coefficient is increased;The adverse yaw is higher;The drag of the downwards deflected aileron is lowered and the adverse yaw is smaller;The total lift remains constant during aileron deflection;The drag of the downwards deflected aileron is lowered and the adverse yaw is smaller;
PFA-081 - Which design feature can compensate for adverse yaw?;Wing dihedral;Full deflection of the aileron;Aileron trim;Differential aileron defletion;Differential aileron defletion;
PFA-082 - Differential aileron deflection is used to...;keep the adverse yaw low.;avoid a stall at low angles of attack.;increase the rate of descent.;reduce wake turbulence.;keep the adverse yaw low.;
PFA-083 - The right aileron deflects upwards, the left downwards. How does the aircraft react?;Rolling to the left, no yawing;Rolling to the right, yawing to the right;Rolling to the right, yawing to the left;Rolling to the left, yawing to the right;Rolling to the right, yawing to the left;
PFA-084 - The aerodynamic rudder balance...;improves the rudder effectiveness.;reduces the control surfaces.;reduces the control stick forces.;delays the stall.;reduces the control stick forces.;
PFA-085 - Which constructive feature has the purpose to reduce stearing forces?;T-tail;Vortex generators;Differential aileron deflection;Aerodynamic rudder balance;Aerodynamic rudder balance;
PFA-086 - What is the function of the static rudder balance?;To trim the controls almost without any force;To increase the control stick forces;To limit the control stick forces;To prevent control surface flutter;To prevent control surface flutter;
PFA-087 - During cruise flight with constant power setting, an aircraft shows a permanent tendency to raise the nose. How can this tendency be eliminated?;By deflecting the elevator trim tab upwards;By shifting the center of gravity backwards;By elevator deflection upwards;By deflecting the elevator trim tab downwards;By deflecting the elevator trim tab upwards;
PFA-088 - The trim tab at the elevator is defelected upwards. In which position is the corresponding indicator?;Neutral position;Nose-up position;Nose-down position;Laterally trimmed;Nose-down position;
"PFA-089 - What describes ""wing loading""?";Drag per wing area;Drag per weight;Wing area per weight;Weight per wing area;Weight per wing area;
PFA-090 - Through which factor listed below does the load factor increase during cruise flight?;A forward centre of gravity;Higher aeroplane weight;An upward gust;Lower air density;An upward gust;
"PFA-091 - Which statement regarding the ""constant-speed propeller"" is correct?";The propeller keeps the airspeed constant;The pitch of the propeller rises with higher speeds;The RPM decreases with lower speeds;The set RPM is kept constant by the motor power (MAP);The pitch of the propeller rises with higher speeds;
PFA-092 - The change in pitch at a propeller blade from the root to the tip ensures...;that the most thrust is produced at the blade tip.;that the most thrust is produced at the blade root.;a nearly constant load by a constant effective angle of attack over the entire length of the blade.;the largest possible angle of attack at the blade tip.;a nearly constant load by a constant effective angle of attack over the entire length of the blade.;
PFA-093 - After an engine failure, the windmilling propeller...;generates neither thrust nor drag.;has a greater pitch in feathered position.;generates drag rather than thrust.;improves the properties of the glide.;generates drag rather than thrust.;
PFA-094 - During a descent at idle power with constant speed, the propeller lever is moved backwards. How do the propeller pitch and sink rate change?;Propeller pitch is increased, sink rate is increased;Propeller pitch is increased, sink rate is decreased;Propeller pitch is decreased, sink rate is increased;Propeller pitch is decreased, sink rate is decreased;Propeller pitch is increased, sink rate is decreased;
PFA-095 - Point number 1 in the figure indicates which flight state?;Stall;Inverted flight;Best gliding angle;Slow flight;Inverted flight;static/images/pof/pfa-008.png
PFA-096 - Point number 5 in the figure indicates which flight state?;Best gliding angle;Slow flight;Stall;Inverted flight;Slow flight;static/images/pof/pfa-008.png
PFA-097 - The bank in a two-minute turn (rate one turn) depends on the...;weight.;wind.;load factor.;TAS.;TAS.;
PFA-098 - In a co-ordinated turn, how is the relation between the load factor (n) and the stall speed (Vs)?;n is smaller than 1, Vs is greater than in straight and level flight.;n is greater than 1, Vs is greater than in straight and level flight.;n is smaller than 1, Vs is smaller than in straight and level flight.;n is greater than 1, Vs is smaller than in straight and level flight.;n is greater than 1, Vs is greater than in straight and level flight.;
PFA-099 - How is the balance of forces affected during a turn?;Lift force must be increased to compensate for the sum of centrifugal and gravitational force;The net force results from superposition of gravity and centripetal forces;The horizontal component of the lift force during a turn is the centrifugal force;A lower lift force compensates for a lower net force as compared to level flight;Lift force must be increased to compensate for the sum of centrifugal and gravitational force;
PFA-100 - The pressure compensation between wind upper and lower surface results in ...;laminar airflow by wing tip vortices.;profile drag by wing tip vortices.;induced drag by wing tip vortices.;lift by wing tip vortices.;induced drag by wing tip vortices.;
"PFA-101 - What is meant by ""ground effect""?";Increase of lift and increase of induced drag close to the ground;Decrease of lift and increase of induced drag close to the ground;Decrease of lift and decrease of induced drag close to the ground;Increase of lift and decrease of induced drag close to the ground;Increase of lift and decrease of induced drag close to the ground;
PFA-102 - What is the diffeence between spin and spiral dive?;"Spin: stall at outer wing, speed constant;
Spiral dive: airflow at both wings, speed increasing rapidly";"Spin: stall at inner wing, speed constant;
Spiral dive: airflow at both wings, speed increasing rapidly";"Spin: stall at outer wing, speed increasing rapidly;
Spiral dive: airflow at both wings, speed constant";"Spin: stall at inner wing, speed increasing rapidly;
Spiral dive: airflow at both wings, speed constant";"Spin: stall at inner wing, speed constant;
Spiral dive: airflow at both wings, speed increasing rapidly";
