Question;Option A;Option B;Option C;Option D;Answer;Annex;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
AGK-047 - Which cylinder arragement is commonly used on small aircrafts and motor gliders?;Horizontally opposed engine;Radial engine;In-line engine;V-type engine;Horizontally opposed engine;;;;;
AGK-048 - Which part of the cycle of a four-stroke Otto engine can be seen in the attachment? See figure (AGK-007);Second stroke - compression;Fourth stroke - exhaust;First stroke - induction;Third stroke - power;First stroke - induction;static/images/agk/agk-007.png;;;;
AGK-049 - Which part of the cycle of a four-stroke Otto engine can be seen in the attachment? See figure (AGK-008);Second stroke - compression;Third stroke - power;Fourth stroke - exhaust;First stroke - induction;Second stroke - compression;static/images/agk/agk-008.png;;;;
AGK-050 - What is likely to be the cause if the engine runs unusually rough while checking the magnetos?;Starter is faulty;Sparking plug is defective;Short circuit on the ground cable;Ignition switch is faulty;Sparking plug is defective;;;;;
AGK-051 - The highest absorbtion of humidity in fuel can be observed in which situation?;During parking on wet gras areas;During parking on cold aprons;Almost empty tanks;Almost full tanks;Almost empty tanks;;;;;
AGK-052 - Where does the condensation water converge in the tank?;It floats on the fuel;Near the cap of the tank;At the lowest position;It is mixed with the fuel;At the lowest position;;;;;
AGK-053 - What does the octane rating or fuel grade describe?;Anti-knock rating;Flame front speed;Ignition timing;Combustion temperature;Anti-knock rating;;;;;
AGK-054 - Which colour does Avgas 100 LL have?;Red;Green;Yellow;Blue;Blue;;;;;
AGK-055 - What is the direct influence by switching on the carburettor heating on fixed propeller engines during engine run-up?;RPM decreases;Angle of attack decreases;Angle of attack increases;RPM increaes;RPM decreases;;;;;
AGK-056 - What is the major task of a carburettor?;To pump fuel from the tanks into the cylinder;To control the aircraft's speed through the throttle valve;To provide additional fuel to cool the engine;To produce an ignitable air/fuel mixture;To produce an ignitable air/fuel mixture;;;;;
AGK-057 - In which phase of flight must the carburettor heating be switched off although carburettor icing might be expected?;During climb;During cruise;During taxi;During take-off;During take-off;;;;;
AGK-058 - In which outside air temperature is icing most likely?;Between -5° C and +20° C;Between -10° C and +10° C;Between -20° C and +5° C;Between -15° C and 0° C;Between -5° C and +20° C;;;;;
AGK-059 - What is the task of cooling fins on air-cooled engine cylinders?;Quick heat transfer to the surrounding air flow by expanding the surface;Cooling of the cylinder surrounding airflow and forwarding to hotter engine parts;Leading the airflow to parts designated to be cooled;Increasing the airflow thus improving cooling of cylinder parts;Quick heat transfer to the surrounding air flow by expanding the surface;;;;;
AGK-060 - Cylinder head temperature indication relates to...;all Cylinders.;a random cylinder.;the critical cylinder.;the average of all cylinders.;the critical cylinder.;;;;;
AGK-061 - What happens during oil filter clocking?;A bypass valve opens thus enabling the circulation to continue, debris will be filtered by an alternate filter;The oil circulation will end after 15 minutes so that a proper engine run will not be guaranteed;A bypass valve opens thus enabling the circulation to continue, debris will not be filtered;The oil circulation will end after 30 minutes so that a proper engine run will not be guaranteed;A bypass valve opens thus enabling the circulation to continue, debris will not be filtered;;;;;
AGK-062 - How should an Otto engine be shut down?;By completely leaning the mixture;By moving the propeller to the feathered position;By closing the throttle lever completely;By shutting down the generator;By completely leaning the mixture;;;;;
AGK-063 - Piston engines of helicopters have...;one magneto ignition system.;one electrical ignition system.;two coupled ignition systems.;two independent ignition systems.;two independent ignition systems.;;;;;
AGK-064 - How do you call fuel mixtures with a high amount of fuel?;Lean;Full;Empty;Rich;Rich;;;;;
AGK-065 - The angle indicated by arrow number 1 shows the propeller's... See figure (AGK-011);angle of incidence.;angle of attack.;geometric wing twist.;aerodynamic wing twist.;angle of incidence.;static/images/agk/agk-011.png;;;;
AGK-066 - How should a power increase be executed on a constant-speed propeller, provided that no other procedure is described in the flight manual?;1) Decrease manifold pressure, 2) Increase RPM;1) Decrease RPM, 2) Increase manifold pressure;1) Increase manifold pressure, 2) Increase RPM;1) Increase RPM, 2) Increase manifold pressure;1) Increase RPM, 2) Increase manifold pressure;;;;;
AGK-067 - How should a power decrease be executed on a constant-speed propeller, provided that no other procedure is described in the flight manual?;1) Decrease RPM, 2) Decrease manifold pressure;1) Decrease manifold pressure, 2) Increase RPM;1) Decrease RPM, 2) Increase manifold pressure;1) Decrease manifold pressure, 2) Decrease RPM;1) Decrease manifold pressure, 2) Decrease RPM;;;;;
AGK-068 - With increasing altitude and unchanged mixture setting, the air/fuel mixture...;becomes more lean.;stays constant.;becomes liquid.;becomes richer.;becomes richer.;;;;;
AGK-069 - With increasing altitude, the power of a carburettor engine...;remains constant.;first decreases, from 5000 ft on increases.;increases.;decreases.;decreases.;;;;;
AGK-070 - During ignition check the ignition is switched to OFF for a short moment and subsequently back to BOTH. What happens to the RPM if the ignition system is properly grounded?;The RPM increases once switched to OFF and resumes a value below the previous one when switched back to BOTH;The RPM decreases once switched to OFF and resumes the previous value when switched back to BOTH;The RPM increases once switched to OFF and resumes the previous value when switched back to BOTH;The RPM decreases once switched to OFF and resumes a value below the previous one when switched back to BOTH;The RPM decreases once switched to OFF and resumes the previous value when switched back to BOTH;;;;;
AGK-071 - Which gauges involve a measurement of temperature?;Engine lubricant, exhaust gas, outside air, cabin air, directional gyro;Engine lubricant, cylinder head, exhaust gas, suction, outside air, cabin air;Engine lubricant, engine cooling fluid, cylinder head, exhaust gas, outside air, cabin air;Engine oil, cylinder head, exhaust gas, altimeter, airspeed indicator, vertical speed indicator;Engine lubricant, engine cooling fluid, cylinder head, exhaust gas, outside air, cabin air;;;;;
AGK-072 - Fuel quantity in small aircraft is most commonly measured through a level sensor. The European Certification Specifications CS 23 require that...;at least one fuel quantity indicator must be available to indicate the total amount of fuel abord an aircraft. This Indicator must be calibrated adequately to indicate the correct amount of fuel during all phases of flight.;if the fuel indicator fails, the pilot must land at the next available airport.;if no fuel quantity indicator is available to the pilot in flight, the pilot must check the fuel quantity before commencing the flight and recalculate the remaining fuel on board in regular intervals during the flight.;"a fuel quantity indicator must be available for each tank and the indicator must be calibrated to read ""zero"" during level flight when the quantity of fuel remaining in the tank is equal to the unusable fuel supply.";"a fuel quantity indicator must be available for each tank and the indicator must be calibrated to read ""zero"" during level flight when the quantity of fuel remaining in the tank is equal to the unusable fuel supply.";;;;;
AGK-073 - Which of the instruments listed below obtain their readings through pressure measurement?;Oil pressure gauge, fuel pressure gauge, manifold pressure gauge, altimeter, vertical speed indicator, airspeed indicator, suction gauge;Oil pressure gauge, fuel pressure gauge, fuel quantity gauge, manifold pressure gauge, differential pressure gauge, altimeter;Airspeed indicator, vertical speed indicator, altimeter, directional gyro, turn and bank coordinator, oil pressure gauge, fuel pressure gauge;Airspeed indicator, vertical speed indicator, altimeter, magnetic compass, oil pressure gauge, fuel pressure gauge;Oil pressure gauge, fuel pressure gauge, manifold pressure gauge, altimeter, vertical speed indicator, airspeed indicator, suction gauge;;;;;
AGK-074 - The Pitot / static system is required to...;prevent potential static buildup on the aircraft.;correct the reading of the airspeed indicator to zero when the aircraft is static on the ground.;measure total and static air pressure.;prevent icing of the Pitot tube.;measure total and static air pressure.;;;;;
AGK-075 - Which pressure is sensed by the Pitot tube?;Cabin air pressure;Total air pressure;Dynamic air pressure;Static air pressure;Total air pressure;;;;;
AGK-076 - QFE is the...;barometric pressure at a reference datum, typically the runway threshold of an airfield.;barometric pressure adjusted to sea level, using the international standard atmosphere (ISA).;magnetic bearing to a station.;altitude above the reference pressure level 1013.25 hPa.;barometric pressure at a reference datum, typically the runway threshold of an airfield.;;;;;
AGK-077 - QNE is the...;barometric pressure at a reference datum, typically the runway threshold of an airfield.;magnetic bearing to a station.;barometric pressure adjusted to sea level, using the international standard atmosphere (ISA).;altitude above the reference pressure level 1013.25 hPa.;altitude above the reference pressure level 1013.25 hPa.;;;;;
AGK-078 - Which is the purpose of the altimeter subscale?;To set the reference level for the altitude decoder of the transponder;To adjust the altimeter reading for non-standard temperature;To reference the altimeter reading to a predetermined level such as mean sea level, aerodrome level or pressure level 1013.25 hPa;To correct the altimeter reading for system errors;To reference the altimeter reading to a predetermined level such as mean sea level, aerodrome level or pressure level 1013.25 hPa;;;;;
AGK-079 - In which way may an altimeter subscale which is set to an incorrect QNH lead to an incorrect altimeter reading?;If the subscale is set to a lower than actual pressure, the indication is too high. This may lead to much closer proximity to the ground than intended;If the subscale is set to a higher than actual pressure, the indication is too high. This may lead to much closer proximity to the ground than intended;If the subscale is set to a lower than actual pressure, the indication is too low. This may lead to much closer proximity to the ground than intended;If the subscale is set to a higher than actual pressure, the indication is too low. This may lead to much greater heights above the ground than intended;If the subscale is set to a higher than actual pressure, the indication is too high. This may lead to much closer proximity to the ground than intended;;;;;
AGK-080 - Lower-than-standard temperature may lead to...;a blockage of the Pitot tube by ice, freezing the altimeter indication to its present value.;an altitude indication which is too low.;an altitude indication which is too high.;a correct altitude indication as long as the altimeter subscale is set to correct for non-standard temperature.;an altitude indication which is too high.;;;;;
AGK-081 - A flight level is a...;pressure altitude.;density altitude.;altitude above ground.;true altitude.;pressure altitude.;;;;;
AGK-082 - A true altitude is...;a height above ground level corrected for non-standard pressure.;a height above ground level corrected for non-standard temperature.;a pressure altitude corrected for non-standard temperature.;an altitude above mean sea level corrected for non-standard temperature.;an altitude above mean sea level corrected for non-standard temperature.;;;;;
AGK-083 - During a flight in colder-than-ISA air the indicated altitude is...;higher than the true altitude.;lower than the true altitude.;eqal to the true altitude.;equal to the standard altitude.;higher than the true altitude.;;;;;
AGK-084 - During a flight in an air mass with a temperature equal to ISA and the QNH set correctly, the indicated altitude is...;lower than the true altitude.;equal to the true altitude.;equal to the standard atmosphere.;higher than the true altitude.;equal to the true altitude.;;;;;
AGK-085 - Which instrument can be affected by the hysteresis error?;Vertical speed indicator;Altimeter;Direct reading compass;Tachometer;Altimeter;;;;;
AGK-086 - The measurement of altitude is based on the change of the...;dynamic pressure.;differential pressure.;static pressure.;total pressure.;static pressure.;;;;;
AGK-087 - Which of the following options states the working principle of a vertical speed indicator?;Measuring the present static air pressure and comparing it to the static air pressure inside a reservoir;Total air pressure is measured and compared to static pressure;Measuring the vertical acceleration through the displacement of a gimbal-mounted mass;Static air pressure is measured and compared against a vacuum;Measuring the present static air pressure and comparing it to the static air pressure inside a reservoir;;;;;
AGK-088 - The vertical speed indicator measures the difference of pressure between...;the present total pressure and the total pressure of a previous moment.;the present dynamic pressure and the dynamic pressure of a previous moment.;the present dynamic pressure and the static pressure of a previous moment.;the present static pressure and the static pressure of a previous moment.;the present static pressure and the static pressure of a previous moment.;;;;;
AGK-089 - Calibrated airspeed (CAS) equals...;equivalent airspeed (EAS) corrected for altitude.;indicated airspeed (IAS) corrected for instrument and position error.;ground speed (GS) corrected for instrument and position error.;true airspeed (TAS) corrected for wind.;indicated airspeed (IAS) corrected for instrument and position error.;;;;;
AGK-090 - At higher altitudes, true airspeed (TAS) tends to be higher than calibrated airspeed (CAS). A rough estimate of the TAS can be obtained by...;subtracting 2 % of the CAS for every 1000 ft altitude.;adding 10 % of the CAS for every 1000 ft altitude.;subtracting 10 % of the CAS for every 1000 m altitude.;adding 2 % of the CAS for every 1000 ft altitude.;adding 2 % of the CAS for every 1000 ft altitude.;;;;;
AGK-091 - An aircraft cruises on a heading of 180° with a true airspeed of 100 kt. The wind comes from 180° with 30 kt. Neglecting instrument and position errors, which will be the approximate reading of the airspeed indicator?;100 kt;130 kt;30 kt;70 kt;100 kt;;;;;
AGK-092 - Which of the following factors could cause an erroneous airspeed indication?;A circuit breaker was pulled;The earth wire is still attached;The boost pressure line is defective;The aircraft is covered with adhesive foils;The aircraft is covered with adhesive foils;;;;;
AGK-093 - Which of the following states the working principle of an airspeed indicator?;Total air pressure is measured and compared against static air pressure.;Total air pressure is measured by the static ports and converted into a speed indication by the airspeed indicator;Dynamic air pressure is measured by the Pitot tube and converted into a speed indication by the airspeed indicator;Static air pressure is measured and compared against a vacuum.;Total air pressure is measured and compared against static air pressure.;;;;;
AGK-094 - What values are usually marked with a red line on instrument displays?;Operational limits;Caution areas;Recommended areas;Operational areas;Operational limits;;;;;
AGK-095 - What is necessary for the determination of speed (IAS) by the airspeed indicator?;The difference between the total pressure and the dynamic pressure;The difference between the standard pressure and the total pressure;The difference betweeen the total pressure and the static presssure;The difference between the dynamic pressure and the static pressure;The difference betweeen the total pressure and the static presssure;;;;;
AGK-096 - What is the meaning of the white arc on the airspeed indicator?;Speed range in bumpy air;Speed range in smooth air;Speed range for extended flaps;Speed range not to exceed;Speed range for extended flaps;;;;;
AGK-097 - What is the meaning of the red range on the airspeed indicator?;Speed which must not be exceeded within bumpy air;Speed which must not be exceeded with flaps extended;Speed which must not be exceeded regardless of circumstances;Speed which must not be exceeded in turns with more than 45° bank;Speed which must not be exceeded regardless of circumstances;;;;;
AGK-098 - The compass error caused by the aircraft's magnetic field is called...;variation.;declination.;inclination.;deviation.;deviation.;;;;;
AGK-099 - The indication of a magnetic compass deviates from magnetic north direction due to what errors?;Deviation, turning and acceleration errors;Gravity and magnetism;Inclination and declination of the earth's magnetic field;Variation, turning and acceleration errors;Deviation, turning and acceleration errors;;;;;
AGK-100 - Which of the mentioned cockpit instruments is connected to the pitot tube?;Vertical speed indicator;Direct-reading compass;Altimeter;Airspeed indicator;Airspeed indicator;;;;;
AGK-101 - Which cockpit instruments are connected to the static port?;Altimeter, vertical speed indicator, airspeed indicator;Airspeed indicator, direct-reading compass, slip indicator;Altimeter, slip indicator, navigational computer;Airspeed indicator, altimeter, direct-reading compass;Altimeter, vertical speed indicator, airspeed indicator;;;;;
AGK-102 - An aircraft in the northern hemisphere intends to turn on the shortest way from a heading of 270° to a heading of 360°. At approximately which indication of the magnetic compass should the turn be terminated?;330°;360°;270°;030°;330°;;;;;
AGK-103 - An aircraft in the northern hemisphere intends to turn on the shortest way from a heading of 360° to a heading of 270°. At approximately which indication of the magnetic compass should the turn be terminated?;300°;360°;240°;270°;270°;;;;;
"AGK-104 - The term ""static pressure"" is defined as pressure...";inside the airplane cabin.;of undisturbed airflow.;resulting from orderly flow of air particles.;sensed by the pitot tube.;of undisturbed airflow.;;;;;
AGK-105 - An aircraft in the northern hemisphere intends to turn on the shortest way from a heading of 030° to a heading of 180°. At approximately which indicated magnetic heading should the turn be terminated?;360°.;150°.;210°.;180°.;210°.;;;;;
AGK-106 - What does the dynamic pressure depend directly on?;Air pressure and air temperature;Air density and airflow speed squared;Air density and lift coefficient;Lift- and drag coefficient;Air density and airflow speed squared;;;;;
AGK-107 - What is a cause for the dip error on the direct-reading compass?;Deviation in the cockpit;Acceleration of the airplane;Inclination of earth's magnetic field lines;Temperature variations;Inclination of earth's magnetic field lines;;;;;
AGK-108 - What behaviour is shown by a rotating gyro in space?;It moves in accordance with the body surrounding it;It tends to maintain its position in space;It swings from east to west like a pendulum;It moves in circles with a stadily decreasing radius;It tends to maintain its position in space;;;;;
AGK-109 - A gyro which is rotating in space responds to forces being applied to it by an evasive movement...;at an angle of 45° to the force being applied.;in a northern direction.;at an angle of 90° to the force being applied.;at an angle of 180° to the force being applied.;at an angle of 90° to the force being applied.;;;;;
AGK-110 - The bank angle of a 2-minutes circle depends on the...;CAS.;IAS.;Ground speed.;TAS.;TAS.;;;;;
AGK-111 - A turn and bank (or turn and slip) coordinator provides information regarding...;the coordination of the turn and slip angle.;the rate of turn and coordination, i.e. slip or skid, of the turn.;the pitch and bank angle of the aircraft.;the rate of turn and bank angle of the aircraft.;the rate of turn and coordination, i.e. slip or skid, of the turn.;;;;;
AGK-112 - The airspeed indicator is unservicable. The airplane may only be operated...;when the airspeed indicator is fully functional again.;when a GPS with speed indication is used during flight.;if no maintenance organisation is around.;if only airfield patterns are flown.;when the airspeed indicator is fully functional again.;;;;;
"AGK-113 - Which light colour advises the pilot to the condition ""corrective action may be required in the future""?";Amber (orange);Red;Blue;Green;Amber (orange);;;;;
AGK-114 - The Caution Area is marked on an airspeed indicator by what color?;Green;Red;Yellow;White;Yellow;;;;;
AGK-115 - An attitude director indicator (ADI) combines the information provided by...;the attitude indicator and the flight director.;the directional gyro and the rate gyro.;the attitude indicator and the relative bearing indicator.;the attitude indicator and the radio magnetic indicator.;the attitude indicator and the flight director.;;;;;
AGK-116 - What does the abbreviation HSI stand for?;Horizontal Situation Indicator;Hybernating System Indication;Horizontal Slip Indicator;Horrifying Steep Inclination;Horizontal Situation Indicator;;;;;
AGK-117 - A horizontal situation indicator (HSI) combines the information provided by...;the directional gyro and the flight director.;the rate gyro and the slip indicator.;the directional gyro and the VHF navigation receiver.;the attitude indicator and the flight director.;the directional gyro and the VHF navigation receiver.;;;;;
AGK-118 - What difference in altitude is shown by an altimeter, if the reference pressure scale setting is changed from 1000 hPa to 1010 hPa?;80 m less than before;Values depending on QNH;Zero;80 m more than before;80 m more than before;;;;;
AGK-119 - When is it necessary to adjust the pressure in the reference scale of an alitimeter?;Before every flight and during cross country flights;Every day before the first flight;Once a month before flight operation;After maintance has been finished;Before every flight and during cross country flights;;;;;
AGK-120 - The altimeter's reference scale is set to airfield pressure (QFE). What indication is shown during the flight?;Pressure altitude;Height above airfield;Airfield elevation;Altitude above MSL;Height above airfield;;;;;
AGK-121 - A vertical speed indicator connected to a too big equalizing tank results in...;no indication;mechanical overload;indication too low;indication too high;indication too high;;;;;
AGK-122 - A vertical speed indicator measures the difference between...;instantaneous total pressure and previous total pressure.;total pressure and static pressure.;instantaneous static pressure and previous static pressure.;dynamic pressure and total pressure.;instantaneous static pressure and previous static pressure.;;;;;
"AGK-123 - The term ""inclination"" is defined as...";deviation induced by electrical fields.;angle between airplane's longitudinal axis and true north.;angle between earth's magnetic field lines and horizontal plane.;angle between magnetic and true north.;angle between earth's magnetic field lines and horizontal plane.;;;;;
AGK-124 - What does the slip indicator show?;Apparent vertical;Rate of turn;Vertical to horizon;Airplane's bank;Apparent vertical;;;;;
AGK-125 - The slip indicator's ball (apparent vertical) has moved to the right during a right turn. By what actions may the ball led back to middle position?;Reduce bank, increase rate of turn;Increase bank, increase rate of turn;Reduce speed, increase bank;Reduce rate of turn, reduce bank;Reduce bank, increase rate of turn;;;;;
