Question,Correct,Answered,CorrectFlag,Count
AGK-049 - Which part of the cycle of a four-stroke Otto engine can be seen in the attachment? See figure (AGK-008),Second stroke - compression,,False,0
AGK-050 - What is likely to be the cause if the engine runs unusually rough while checking the magnetos?,Sparking plug is defective,,False,0
AGK-051 - The highest absorbtion of humidity in fuel can be observed in which situation?,Almost empty tanks,,False,0
AGK-052 - Where does the condensation water converge in the tank?,At the lowest position,,False,0
AGK-053 - What does the octane rating or fuel grade describe?,Anti-knock rating,,False,0
AGK-054 - Which colour does Avgas 100 LL have?,Blue,,False,0
AGK-055 - What is the direct influence by switching on the carburettor heating on fixed propeller engines during engine run-up?,RPM decreases,,False,0
AGK-056 - What is the major task of a carburettor?,To produce an ignitable air/fuel mixture,,False,0
AGK-057 - In which phase of flight must the carburettor heating be switched off although carburettor icing might be expected?,During take-off,,False,0
AGK-058 - In which outside air temperature is icing most likely?,Between -5° C and +20° C,,False,0
AGK-059 - What is the task of cooling fins on air-cooled engine cylinders?,Quick heat transfer to the surrounding air flow by expanding the surface,,False,0
AGK-060 - Cylinder head temperature indication relates to...,the critical cylinder.,,False,0
AGK-061 - What happens during oil filter clocking?,"A bypass valve opens thus enabling the circulation to continue, debris will not be filtered",,False,0
AGK-062 - How should an Otto engine be shut down?,By completely leaning the mixture,,False,0
AGK-063 - Piston engines of helicopters have...,two independent ignition systems.,,False,0
AGK-064 - How do you call fuel mixtures with a high amount of fuel?,Rich,,False,0
AGK-065 - The angle indicated by arrow number 1 shows the propeller's... See figure (AGK-011),angle of incidence.,,False,0
"AGK-066 - How should a power increase be executed on a constant-speed propeller, provided that no other procedure is described in the flight manual?","1) Increase RPM, 2) Increase manifold pressure",,False,0
"AGK-067 - How should a power decrease be executed on a constant-speed propeller, provided that no other procedure is described in the flight manual?","1) Decrease manifold pressure, 2) Decrease RPM",,False,0
"AGK-068 - With increasing altitude and unchanged mixture setting, the air/fuel mixture...",becomes richer.,,False,0
"AGK-069 - With increasing altitude, the power of a carburettor engine...",decreases.,,False,0
AGK-070 - During ignition check the ignition is switched to OFF for a short moment and subsequently back to BOTH. What happens to the RPM if the ignition system is properly grounded?,The RPM decreases once switched to OFF and resumes the previous value when switched back to BOTH,,False,0
AGK-071 - Which gauges involve a measurement of temperature?,"Engine lubricant, engine cooling fluid, cylinder head, exhaust gas, outside air, cabin air",,False,0
AGK-072 - Fuel quantity in small aircraft is most commonly measured through a level sensor. The European Certification Specifications CS 23 require that...,"a fuel quantity indicator must be available for each tank and the indicator must be calibrated to read ""zero"" during level flight when the quantity of fuel remaining in the tank is equal to the unusable fuel supply.",,False,0
AGK-073 - Which of the instruments listed below obtain their readings through pressure measurement?,"Oil pressure gauge, fuel pressure gauge, manifold pressure gauge, altimeter, vertical speed indicator, airspeed indicator, suction gauge",,False,0
AGK-074 - The Pitot / static system is required to...,measure total and static air pressure.,,False,0
AGK-075 - Which pressure is sensed by the Pitot tube?,Total air pressure,,False,0
AGK-076 - QFE is the...,"barometric pressure at a reference datum, typically the runway threshold of an airfield.",,False,0
AGK-077 - QNE is the...,altitude above the reference pressure level 1013.25 hPa.,,False,0
AGK-078 - Which is the purpose of the altimeter subscale?,"To reference the altimeter reading to a predetermined level such as mean sea level, aerodrome level or pressure level 1013.25 hPa",,False,0
AGK-079 - In which way may an altimeter subscale which is set to an incorrect QNH lead to an incorrect altimeter reading?,"If the subscale is set to a higher than actual pressure, the indication is too high. This may lead to much closer proximity to the ground than intended",,False,0
AGK-080 - Lower-than-standard temperature may lead to...,an altitude indication which is too high.,,False,0
AGK-081 - A flight level is a...,pressure altitude.,,False,0
AGK-082 - A true altitude is...,an altitude above mean sea level corrected for non-standard temperature.,,False,0
AGK-083 - During a flight in colder-than-ISA air the indicated altitude is...,higher than the true altitude.,,False,0
"AGK-084 - During a flight in an air mass with a temperature equal to ISA and the QNH set correctly, the indicated altitude is...",equal to the true altitude.,,False,0
AGK-085 - Which instrument can be affected by the hysteresis error?,Altimeter,,False,0
AGK-086 - The measurement of altitude is based on the change of the...,static pressure.,,False,0
AGK-087 - Which of the following options states the working principle of a vertical speed indicator?,Measuring the present static air pressure and comparing it to the static air pressure inside a reservoir,,False,0
AGK-088 - The vertical speed indicator measures the difference of pressure between...,the present static pressure and the static pressure of a previous moment.,,False,0
AGK-089 - Calibrated airspeed (CAS) equals...,indicated airspeed (IAS) corrected for instrument and position error.,,False,0
"AGK-090 - At higher altitudes, true airspeed (TAS) tends to be higher than calibrated airspeed (CAS). A rough estimate of the TAS can be obtained by...",adding 2 % of the CAS for every 1000 ft altitude.,,False,0
"AGK-091 - An aircraft cruises on a heading of 180° with a true airspeed of 100 kt. The wind comes from 180° with 30 kt. Neglecting instrument and position errors, which will be the approximate reading of the airspeed indicator?",100 kt,,False,0
AGK-092 - Which of the following factors could cause an erroneous airspeed indication?,The aircraft is covered with adhesive foils,,False,0
AGK-093 - Which of the following states the working principle of an airspeed indicator?,Total air pressure is measured and compared against static air pressure.,,False,0
AGK-094 - What values are usually marked with a red line on instrument displays?,Operational limits,,False,0
AGK-095 - What is necessary for the determination of speed (IAS) by the airspeed indicator?,The difference betweeen the total pressure and the static presssure,,False,0
AGK-096 - What is the meaning of the white arc on the airspeed indicator?,Speed range for extended flaps,,False,0
AGK-097 - What is the meaning of the red range on the airspeed indicator?,Speed which must not be exceeded regardless of circumstances,,False,0
AGK-098 - The compass error caused by the aircraft's magnetic field is called...,deviation.,,False,0
AGK-099 - The indication of a magnetic compass deviates from magnetic north direction due to what errors?,"Deviation, turning and acceleration errors",,False,0
AGK-100 - Which of the mentioned cockpit instruments is connected to the pitot tube?,Airspeed indicator,,False,0
AGK-101 - Which cockpit instruments are connected to the static port?,"Altimeter, vertical speed indicator, airspeed indicator",,False,0
AGK-102 - An aircraft in the northern hemisphere intends to turn on the shortest way from a heading of 270° to a heading of 360°. At approximately which indication of the magnetic compass should the turn be terminated?,330°,,False,0
AGK-103 - An aircraft in the northern hemisphere intends to turn on the shortest way from a heading of 360° to a heading of 270°. At approximately which indication of the magnetic compass should the turn be terminated?,270°,,False,0
"AGK-104 - The term ""static pressure"" is defined as pressure...",of undisturbed airflow.,,False,0
AGK-105 - An aircraft in the northern hemisphere intends to turn on the shortest way from a heading of 030° to a heading of 180°. At approximately which indicated magnetic heading should the turn be terminated?,210°.,,False,0
AGK-106 - What does the dynamic pressure depend directly on?,Air density and airflow speed squared,,False,0
AGK-107 - What is a cause for the dip error on the direct-reading compass?,Inclination of earth's magnetic field lines,,False,0
AGK-108 - What behaviour is shown by a rotating gyro in space?,It tends to maintain its position in space,,False,0
AGK-109 - A gyro which is rotating in space responds to forces being applied to it by an evasive movement...,at an angle of 90° to the force being applied.,,False,0
AGK-110 - The bank angle of a 2-minutes circle depends on the...,TAS.,,False,0
AGK-111 - A turn and bank (or turn and slip) coordinator provides information regarding...,"the rate of turn and coordination, i.e. slip or skid, of the turn.",,False,0
AGK-112 - The airspeed indicator is unservicable. The airplane may only be operated...,when the airspeed indicator is fully functional again.,,False,0
"AGK-113 - Which light colour advises the pilot to the condition ""corrective action may be required in the future""?",Amber (orange),,False,0
AGK-114 - The Caution Area is marked on an airspeed indicator by what color?,Yellow,,False,0
AGK-115 - An attitude director indicator (ADI) combines the information provided by...,the attitude indicator and the flight director.,,False,0
AGK-116 - What does the abbreviation HSI stand for?,Horizontal Situation Indicator,,False,0
AGK-117 - A horizontal situation indicator (HSI) combines the information provided by...,the directional gyro and the VHF navigation receiver.,,False,0
"AGK-118 - What difference in altitude is shown by an altimeter, if the reference pressure scale setting is changed from 1000 hPa to 1010 hPa?",80 m more than before,,False,0
AGK-119 - When is it necessary to adjust the pressure in the reference scale of an alitimeter?,Before every flight and during cross country flights,,False,0
AGK-120 - The altimeter's reference scale is set to airfield pressure (QFE). What indication is shown during the flight?,Height above airfield,,False,0
AGK-121 - A vertical speed indicator connected to a too big equalizing tank results in...,indication too high,,False,0
AGK-122 - A vertical speed indicator measures the difference between...,instantaneous static pressure and previous static pressure.,,False,0
"AGK-123 - The term ""inclination"" is defined as...",angle between earth's magnetic field lines and horizontal plane.,,False,0
AGK-124 - What does the slip indicator show?,Apparent vertical,,False,0
AGK-125 - The slip indicator's ball (apparent vertical) has moved to the right during a right turn. By what actions may the ball led back to middle position?,"Reduce bank, increase rate of turn",,False,0
AGK-126 - What is the purpose of winglets?,Reduction of induced drag.,,False,0
AGK-127 - What engines are commonly used with Touring Motor Gliders (TMG)?,"4 Cylinder, 4 stroke",,False,0
AGK-128 - What is the purpose of engine oil in piston engine?,"Cooling, lubrication of the engine and disposal of fine abrasion.",,False,0
